Empreendimento,Tipo de Geração,Potência Outorgada (kW),Latitude,Longitude,DscMuninicpios
União dos Ventos 4,EOL,11200.0,"-5,09034131","-35,79800000",Pedra Grande - RN
União dos Ventos 5,EOL,24000.0,"-5,09041226","-35,78200000",São Miguel do Gostoso - RN
União dos Ventos 6,EOL,12800.0,"-5,09464050","-35,76700000",São Miguel do Gostoso - RN
União dos Ventos 7,EOL,14400.0,"-5,09714734","-35,75200000",São Miguel do Gostoso - RN
União dos Ventos 8,EOL,14400.0,"-5,07267646","-35,88800000",Pedra Grande - RN
União dos Ventos 9,EOL,11200.0,"-5,08724472","-35,88700000",Pedra Grande - RN
União dos Ventos 10,EOL,14400.0,"-5,10718687","-35,88900000",Pedra Grande - RN
Ventos do Morro do Chapéu,EOL,27510.0,"-3,87809695","-41,17509512",Tianguá - CE
Ventos de Tianguá Norte,EOL,29120.0,"-3,89443028","-41,19694609",Tianguá - CE
Ventos de Tianguá,EOL,27750.0,"-3,87952688","-41,15337075",Tianguá - CE
Vento Formoso,EOL,27510.0,"-3,85300663","-41,18338360",Ubajara - CE
Ventos do Parazinho,EOL,29120.0,"-3,88877346","-41,18562645",Ubajara - CE
Pedra do Reino III,EOL,18000.0,"-9,49858333","-40,87900000",Sobradinho - BA
Serra de Santana II,EOL,30000.0,"-6,10138889","-36,57868431",Lagoa Nova - RN
Serra de Santana III,EOL,30000.0,"-6,02493709","-36,51203738",Bodó - RN
Arizona 1,EOL,28000.0,"-5,30416667","-35,38200000",Rio do Fogo - RN
Serra de Santana I,EOL,20000.0,"-6,05661175","-36,58061876",Lagoa Nova - RN
Porto do Delta,EOL,30800.0,"-2,84278185","-41,69759555",Parnaíba - PI
Mundaú,EOL,30004.0,"-3,19358656","-39,37464301",Trairi - CE
Juremas,EOL,16100.0,"-5,38980988","-35,84627063",João Câmara - RN
Macacos,EOL,20700.0,"-5,41199132","-35,84833061",João Câmara - RN
Trairí,EOL,25388.0,"-3,22166667","-39,29000000",Trairi - CE
Guajirú,EOL,30004.0,"-3,26315199","-39,21588688",Trairi - CE
Fleixeiras I,EOL,30004.0,"-3,20107047","-39,36471454",Trairi - CE
Pedra Preta,EOL,20700.0,"-5,42682174","-35,85338594",João Câmara - RN
Costa Branca,EOL,20700.0,"-5,42153085","-35,85256767",João Câmara - RN
Ilha Grande,EOL,29700.0,"-3,06655611","-39,70258815",Amontada - CE
Ribeirão,EOL,21600.0,"-3,09824905","-39,67855225",Amontada - CE
Boca do Córrego,EOL,24300.0,"-3,09841180","-39,66628265",Amontada - CE
Dreen Guajiru,EOL,21000.0,"-5,08801797","-35,90224013","Pedra Grande - RN, São Bento do Norte - RN"
GE Jangada,EOL,27300.0,"-5,05484653","-36,01189392",São Bento do Norte - RN
Dreen Cutia,EOL,23100.0,"-5,10540384","-35,90172351",Pedra Grande - RN
GE Maria Helena,EOL,27300.0,"-5,06615249","-36,01236230",São Bento do Norte - RN
São Judas,EOL,29900.0,"-11,66425000","-41,36200000",Morro do Chapéu - BA
Primavera,EOL,29900.0,"-11,73336111","-41,37300000",Morro do Chapéu - BA
Cristal,EOL,29900.0,"-11,79646316","-41,39338420",Cafarnaum - BA
Teiu,EOL,16650.0,"-14,33813840","-42,59109055",Pindaí - BA
Angical,EOL,12950.0,"-14,34605667","-42,61368354",Pindaí - BA
Parque Eólico dos Índios 2,EOL,29900.0,"-30,01941202","-50,33618486",Osório - RS
Coqueirinho,EOL,29600.0,"-14,41988897","-42,62872019",Pindaí - BA
Caititu,EOL,22200.0,"-14,45280192","-42,64099568",Pindaí - BA
Verace VI,EOL,18000.0,"-33,54306848","-53,27688110",Santa Vitória do Palmar - RS
Verace IV,EOL,30000.0,"-33,55170739","-53,22728994",Santa Vitória do Palmar - RS
Verace II,EOL,20000.0,"-33,50873325","-53,28320345",Santa Vitória do Palmar - RS
Verace I,EOL,20000.0,"-33,50172009","-53,26433751",Santa Vitória do Palmar - RS
Verace III,EOL,26000.0,"-33,52214653","-53,27900227",Santa Vitória do Palmar - RS
Verace VII,EOL,30000.0,"-33,56680608","-53,24599923",Santa Vitória do Palmar - RS
Verace IX,EOL,30000.0,"-33,57671248","-53,29529078",Santa Vitória do Palmar - RS
Verace X,EOL,28000.0,"-33,59129694","-53,27160818",Santa Vitória do Palmar - RS
Ibirapuitã I,EOL,25200.0,"-30,77088858","-55,66292519",Santana do Livramento - RS
Inhambu,EOL,31450.0,"-14,39117106","-42,59385360",Caetité - BA
Corrupião,EOL,27750.0,"-14,29269078","-42,58526944",Pindaí - BA
Tamanduá Mirim,EOL,29600.0,"-14,37755200","-42,60938646",Pindaí - BA
Chuí IV,EOL,22000.0,"-33,66469695","-53,41642830",Chuí - RS
Verace VIII,EOL,26000.0,"-33,55301730","-53,31075269",Santa Vitória do Palmar - RS
Cerro Chato VI,EOL,24000.0,"-30,78303864","-55,69057164",Santana do Livramento - RS
Chuí V,EOL,30000.0,"-33,66812414","-53,42183844",Chuí - RS
Cerro dos Trindade,EOL,8000.0,"-30,85122750","-55,75265125",Santana do Livramento - RS
Chuí I,EOL,24000.0,"-33,65651802","-53,39357107",Chuí - RS
Maron,EOL,30240.0,"-14,13370646","-42,60235759",Caetité - BA
Pilões,EOL,30240.0,"-14,02915106","-42,61607574",Caetité - BA
Dourados,EOL,28560.0,"-14,15232508","-42,68159246",Igaporã - BA
Ametista,EOL,28560.0,"-14,17203284","-42,70022351",Caetité - BA
Cerro Chato IV,EOL,10000.0,"-30,83273475","-55,75575113",Santana do Livramento - RS
Cerro Chato V,EOL,12000.0,"-30,79572551","-55,75556513",Santana do Livramento - RS
Modelo I,EOL,30550.0,"-5,43077346","-35,89305115",João Câmara - RN
Modelo II,EOL,25850.0,"-5,41436586","-35,90011068",João Câmara - RN
Tacaicó,EOL,18800.0,"-9,01873689","-38,05601450",Tacaratu - PE
Chuí II,EOL,22000.0,"-33,65944302","-53,40028553",Chuí - RS
Minuano II,EOL,24000.0,"-33,71737403","-53,41670291",Chuí - RS
Caetité,EOL,30240.0,"-14,46886215","-42,58355855",Caetité - BA
Pelourinho,EOL,21840.0,"-14,52923503","-42,58673115",Igaporã - BA
Joana,EOL,28200.0,"-13,91798451","-42,62044581",Igaporã - BA
Serra do Espinhaço,EOL,18480.0,"-14,49572374","-42,58285958",Caetité - BA
Espigão,EOL,10080.0,"-14,47696269","-42,58525150",Igaporã - BA
São João,EOL,27000.0,"-5,12871716","-35,65383309",São Miguel do Gostoso - RN
Pau Ferro,EOL,30550.0,"-9,06248188","-38,11857986",Tacaratu - PE
Pedra do Gerônimo,EOL,30550.0,"-9,06719303","-38,14478302",Tacaratu - PE
Emiliana,EOL,28200.0,"-13,91002361","-42,62417205",Igaporã - BA
Corredor do Senandes III,EOL,27000.0,"-32,41269322","-52,35546521",Rio Grande - RS
Porto das Barcas,EOL,20000.0,"-2,82065099","-41,74175792",Parnaíba - PI
Ventos de Santo Uriel,EOL,16200.0,"-5,48727863","-35,90008936",João Câmara - RN
Verace V,EOL,30000.0,"-33,53570277","-53,30120436",Santa Vitória do Palmar - RS
Porto Salgado,EOL,20000.0,"-2,83982215","-41,72699664",Parnaíba - PI
Carnaúbas,EOL,27000.0,"-5,15203946","-35,66298810",São Miguel do Gostoso - RN
Carcará I,EOL,30000.0,"-4,94375056","-36,99175321",Areia Branca - RN
Vento Aragano I,EOL,29700.0,"-32,41452177","-52,37290819",Rio Grande - RS
Santa Helena,EOL,29700.0,"-5,47205586","-35,91615497",João Câmara - RN
Borgo,EOL,20160.0,"-14,50840054","-42,58665108",Caetité - BA
Delta do Parnaíba,EOL,30000.0,"-2,83714006","-41,70736161",Parnaíba - PI
Corredor do Senandes IV,EOL,29700.0,"-32,36886667","-52,34200000",Rio Grande - RS
Malhadinha 1,EOL,23100.0,"-3,94661349","-41,12303536",Ibiapina - CE
Corredor do Senandes II,EOL,21600.0,"-32,38620833","-52,32700000",Rio Grande - RS
Reduto,EOL,27000.0,"-5,12826432","-35,68864810",São Miguel do Gostoso - RN
Minuano I,EOL,22000.0,"-33,72280556","-53,39900188",Chuí - RS
Santo Cristo,EOL,27465.0,"-5,13565878","-35,62074708",Touros - RN
Pelado,EOL,20000.0,"-6,00427326","-36,43527354",Bodó - RN
Lanchinha,EOL,28000.0,"-6,13531074","-36,72199512",Tenente Laurentino Cruz - RN
SM,EOL,29700.0,"-5,44216093","-35,92330935",João Câmara - RN
Riachão I,EOL,29700.0,"-5,52300494","-35,42852864",Ceará-Mirim - RN
Riachão II,EOL,27000.0,"-5,56943192","-35,44728929",Ceará-Mirim - RN
Riachão VI,EOL,29700.0,"-5,53755281","-35,44671760",Ceará-Mirim - RN
Riachão VII,EOL,29700.0,"-5,57777778","-35,46400000",Ceará-Mirim - RN
Riachão IV,EOL,29700.0,"-5,52111111","-35,46900000",Ceará-Mirim - RN
Cabeço Preto V,EOL,26000.0,"-5,47992913","-36,00440197",João Câmara - RN
Morro dos Ventos II,EOL,29160.0,"-5,36013090","-35,83553998",João Câmara - RN
Parque Eólico dos Índios 3,EOL,23000.0,"-29,98306343","-50,33240102",Osório - RS
Caiçara I,EOL,27000.0,"-4,99772056","-36,91470886",Serra do Mel - RN
Carcará II,EOL,30000.0,"-4,94566806","-37,00358406",Areia Branca - RN
Terral,EOL,30000.0,"-4,96181355","-37,03545435",Areia Branca - RN
Cabeço Preto VI,EOL,18000.0,"-5,46435727","-35,93527616",João Câmara - RN
Pontal 3 B,EOL,27000.0,"-30,25605887","-50,76613156",Viamão - RS
Junco I,EOL,24000.0,"-5,02510247","-36,91461618",Serra do Mel - RN
Jandaia I,EOL,24000.0,"-4,42742894","-37,87085677",Fortim - CE
São Jorge,EOL,24000.0,"-3,24701636","-39,25022956",Trairi - CE
São Cristovão,EOL,26000.0,"-3,26029626","-39,24834285",Trairi - CE
Junco II,EOL,24000.0,"-5,01235008","-36,91457359",Serra do Mel - RN
Caiçara II,EOL,18000.0,"-4,98766654","-36,92874962",Serra do Mel - RN
Santo Antônio de Pádua,EOL,14000.0,"-3,27326102","-39,22467310",Trairi - CE
Ubatuba,EOL,12600.0,"-4,65656137","-37,61229324",Aracati - CE
Goiabeira,EOL,23100.0,"-4,59210157","-37,71394730",Aracati - CE
São Januário,EOL,21000.0,"-4,49983571","-37,80933485",Fortim - CE
Santa Catarina,EOL,18900.0,"-4,59447288","-37,68202591",Aracati - CE
Ventos de Horizonte,EOL,16800.0,"-4,62281132","-37,69035721",Aracati - CE
Pitombeira,EOL,27300.0,"-4,60060883","-37,64888382",Aracati - CE
São Clemente,EOL,21000.0,"-4,42427635","-37,87966537",Fortim - CE
Jandaia,EOL,27000.0,"-4,43298747","-37,81621938",Fortim - CE
Nossa Senhora de Fátima,EOL,30000.0,"-4,45121254","-37,86772950",Fortim - CE
Baixa do Feijão IV,EOL,30000.0,"-5,32196326","-36,06063482",Jandaíra - RN
Baixa do Feijão I,EOL,30000.0,"-5,36976960","-36,03167954",Jandaíra - RN
Baixa do Feijão II,EOL,30000.0,"-5,30224886","-36,03810741",Jandaíra - RN
Baixa do Feijão III,EOL,30000.0,"-5,34492880","-36,04003815",Jandaíra - RN
Ventos de Campo Formoso I,EOL,30000.0,"-10,62770186","-40,68553526",Campo Formoso - BA
Ventos da Andorinha,EOL,30000.0,"-10,58327700","-40,63744738",Campo Formoso - BA
Ventos de Morrinhos,EOL,30000.0,"-10,56956163","-40,62858262",Campo Formoso - BA
