Empreendimento,Tipo de Geração,Potência Outorgada (kW),Latitude,Longitude,DscMuninicpios
Serra das Vacas III,EOL,22235.0,"-8,90308099","-36,75792470",Paranatama - PE
Verace 24,EOL,19690.0,"-33,63874916","-53,30938886",Santa Vitória do Palmar - RS
Ventos de Guarás I,EOL,30000.0,"-10,60609650","-40,65449747",Campo Formoso - BA
Serra das Vacas IV,EOL,22295.0,"-8,91381000","-36,72957300",Paranatama - PE
Verace 28,EOL,12530.0,"-33,63403301","-53,35337923",Santa Vitória do Palmar - RS
Bons Ventos Cacimbas 5,EOL,21000.0,"-3,92388987","-41,02818691",Ibiapina - CE
Ventos de Santa Joana III,EOL,29600.0,"-7,43772818","-40,74645097",Marcolândia - PI
Ventos de Santa Joana I,EOL,28900.0,"-7,42365825","-40,67152868",Simões - PI
Ventos de Santa Joana VII,EOL,28900.0,"-7,41301781","-40,66857176",Caldeirão Grande do Piauí - PI
Verace 27,EOL,16110.0,"-33,65430600","-53,32371936",Santa Vitória do Palmar - RS
Verace 34,EOL,14320.0,"-33,56249212","-53,35263347",Santa Vitória do Palmar - RS
Verace 30,EOL,17900.0,"-33,60994435","-53,34410553",Santa Vitória do Palmar - RS
Ventos de Santo Augusto IV,EOL,28900.0,"-7,38581768","-40,69776191",Caldeirão Grande do Piauí - PI
Tamanduá Mirim 2,EOL,16000.0,"-14,47095341","-42,66552734",Pindaí - BA
Banda de Couro,EOL,32900.0,"-9,84775015","-41,05389145",Sento Sé - BA
Verace 36,EOL,21480.0,"-33,59605533","-53,36769209",Santa Vitória do Palmar - RS
Bons Ventos Cacimbas 7,EOL,16800.0,"-3,86612299","-41,03818189",Ubajara - CE
Bons Ventos Cacimbas 4,EOL,10500.0,"-3,93213177","-41,02664628",Ibiapina - CE
Bons Ventos Cacimbas 3,EOL,14700.0,"-3,86737805","-41,02025838",Ubajara - CE
União dos Ventos 15,EOL,31500.0,"-5,29419488","-35,74659906",São Miguel do Gostoso - RN
União dos Ventos 14,EOL,21000.0,"-5,10747769","-35,87028501",Pedra Grande - RN
Bons Ventos Cacimbas 2,EOL,23100.0,"-3,88842316","-41,04010509",Ubajara - CE
União dos Ventos 12,EOL,25200.0,"-5,10334579","-35,85214857",Pedra Grande - RN
Aura Mangueira XIII,EOL,15000.0,"-33,11846130","-52,90003523",Santa Vitória do Palmar - RS
Aura Mangueira XV,EOL,18000.0,"-33,16335103","-52,89370135",Santa Vitória do Palmar - RS
Cabeço Vermelho,EOL,28600.0,"-5,49281996","-36,00362986",Jardim de Angicos - RN
União dos Ventos 16,EOL,28875.0,"-5,26372468","-35,76380499",São Miguel do Gostoso - RN
Aura Mangueira XII,EOL,15000.0,"-33,10746343","-52,87054515",Santa Vitória do Palmar - RS
Ventos de Santo Augusto V,EOL,29600.0,"-7,40929161","-40,69511612","Caldeirão Grande do Piauí - PI, Marcolândia - PI"
Ventos de Santo Augusto III,EOL,29600.0,"-7,37234550","-40,70717538",Caldeirão Grande do Piauí - PI
Aura Mirim IV,EOL,15000.0,"-33,20780635","-52,92975922",Santa Vitória do Palmar - RS
Cabeço Vermelho II,EOL,16800.0,"-5,49487767","-35,98785357",João Câmara - RN
Testa Branca I,EOL,23000.0,"-2,81660337","-41,78222169",Ilha Grande - PI
Baraúnas II,EOL,25850.0,"-9,87174698","-41,06310981",Sento Sé - BA
Caldeirão Grande III (Antiga Santa Veridiana),UFV,30933.0,"-7,34632600","-40,55470000",Caldeirão Grande do Piauí - PI
Caldeirão Grande VI (Antiga Santa Verônica),UFV,30933.0,"-7,33266500","-40,57220500",Caldeirão Grande do Piauí - PI
Caldeirão Grande VII (Antiga São Moises),UFV,34370.0,"-7,34678700","-40,54140500",Caldeirão Grande do Piauí - PI
Caldeirão Grande V (Antiga São Felix),UFV,27496.0,"-7,37283100","-40,54902200",Caldeirão Grande do Piauí - PI
Caldeirão Grande I (Antiga São Basílio),UFV,30933.0,"-7,39498100","-40,58356640",Caldeirão Grande do Piauí - PI
Caldeirão Grande II (Antiga Santo Anastácio),UFV,30933.0,"-7,40399700","-40,59609000",Caldeirão Grande do Piauí - PI
Caldeirão Grande IV (Antiga Santo Amaro do Piauí),UFV,27496.0,"-7,37912000","-40,56370200",Caldeirão Grande do Piauí - PI
Aura Mangueira VI,EOL,27000.0,"-33,06116202","-52,86823685",Santa Vitória do Palmar - RS
União dos Ventos 13,EOL,18900.0,"-5,08366984","-35,86234833",Pedra Grande - RN
Pedra Cheirosa II,EOL,23100.0,"-3,00076654","-39,73065491",Itarema - CE
Aura Mirim VIII,EOL,9000.0,"-33,08713496","-52,89569717",Santa Vitória do Palmar - RS
Aura Mangueira IV,EOL,21000.0,"-33,08394639","-52,83763035",Santa Vitória do Palmar - RS
Aura Mirim VI,EOL,9000.0,"-33,09846608","-52,86192223",Santa Vitória do Palmar - RS
Aura Mangueira XVII,EOL,15000.0,"-33,09506924","-52,84351885",Santa Vitória do Palmar - RS
Aura Mangueira XI,EOL,9000.0,"-33,17617609","-52,92069019",Santa Vitória do Palmar - RS
Pedra Cheirosa,EOL,25200.0,"-2,99751534","-39,73369636",Itarema - CE
Umburanas 5,EOL,17500.0,"-10,66499208","-41,60451759",Sento Sé - BA
Umburanas 1,EOL,25000.0,"-10,67947732","-41,52063070",Sento Sé - BA
Umburanas 2,EOL,25000.0,"-10,66991637","-41,50950699",Sento Sé - BA
Umburanas 3,EOL,20000.0,"-10,64024826","-41,50758317",Sento Sé - BA
Umburanas 10,EOL,20000.0,"-10,64988254","-41,59608593",Sento Sé - BA
Umburanas 9,EOL,17500.0,"-10,63864428","-41,61434102",Sento Sé - BA
Umburanas 11,EOL,15000.0,"-10,58632327","-41,49018325",Sento Sé - BA
Ventos de Santo Augusto I,EOL,18400.0,"-7,74295701","-40,67521794",Simões - PI
Ventos de Santo Augusto II,EOL,27600.0,"-7,77255206","-40,67857470",Simões - PI
Ventos de Santo Augusto VII,EOL,18400.0,"-7,72521020","-40,67930224",Simões - PI
Vila Amazonas V,EOL,24000.0,"-4,98814918","-36,96456447",Serra do Mel - RN
Umburanas 13,EOL,20000.0,"-10,64692468","-41,56466585",Sento Sé - BA
Umburanas 15,EOL,20000.0,"-10,65281868","-41,49725368",Sento Sé - BA
Umburanas 16,EOL,25000.0,"-10,69414809","-41,56871623",Sento Sé - BA
Umburanas 18,EOL,7500.0,"-10,65027094","-41,58736582",Sento Sé - BA
Vila Pará II,EOL,24000.0,"-5,03570418","-36,96441723",Serra do Mel - RN
Ventos da Bahia II,EOL,27000.0,"-12,01558277","-41,44626231",Mulungu do Morro - BA
Vila Pará I,EOL,27000.0,"-5,01477457","-36,96448221",Serra do Mel - RN
Ventos de Santo Estevão I,EOL,25300.0,"-7,74418747","-40,62081321",Araripina - PE
Ventos de Santo Estevão II,EOL,25300.0,"-7,74817360","-40,62963428",Araripina - PE
Ventos de Santo Estevão III,EOL,29900.0,"-7,72832966","-40,65840946",Araripina - PE
Ventos de Santo Estevão V,EOL,27600.0,"-7,75987662","-40,67332146",Araripina - PE
Vila Pará III,EOL,24000.0,"-5,06561135","-36,96432390",Serra do Mel - RN
Ventos de Santo Augusto VI,EOL,29900.0,"-7,71396913","-40,67615505",Simões - PI
Ventos de Santo Augusto VIII,EOL,18400.0,"-7,77070452","-40,67772375",Simões - PI
Ventos da Bahia IV,EOL,12000.0,"-11,98432480","-41,44454854",Bonito - BA
Ventos da Bahia VIII,EOL,27000.0,"-12,03242556","-41,45653965",Mulungu do Morro - BA
Umburanas 6,EOL,20000.0,"-10,67344736","-41,60474488",Sento Sé - BA
Aroeira,EOL,32900.0,"-5,33867728","-36,11292362",Jandaíra - RN
Jericó,EOL,32900.0,"-5,37121447","-36,09034821",Jandaíra - RN
Aura Mangueira VII,EOL,24000.0,"-33,18958366","-52,93016379",Santa Vitória do Palmar - RS
Aura Mirim II,EOL,30000.0,"-33,13804259","-52,91205192",Santa Vitória do Palmar - RS
Ouro Branco 1,EOL,36000.0,"-8,18765184","-36,75098902",Poção - PE
Ouro Branco 2,EOL,36000.0,"-8,17726416","-36,73764847",Poção - PE
Quatro Ventos,EOL,22500.0,"-7,48559605","-35,49365755",Macaparana - PE
Santana I,EOL,30000.0,"-6,05353227","-36,45557162",Bodó - RN
Santana II,EOL,24000.0,"-6,04275376","-36,46399991",Lagoa Nova - RN
Calango 6,EOL,30000.0,"-6,00054562","-36,44983358",Bodó - RN
Itarema IV,EOL,21000.0,"-2,92914145","-39,87566361",Itarema - CE
Itarema IX,EOL,30000.0,"-2,94814230","-39,90116599",Itarema - CE
Itarema VI,EOL,24000.0,"-2,92882717","-39,87574637",Itarema - CE
Itarema VII,EOL,21000.0,"-2,95398303","-39,87738592",Itarema - CE
Itarema VIII,EOL,21000.0,"-2,98120402","-39,89279090",Itarema - CE
Ventos de São Clemente 1,EOL,31365.0,"-8,72631967","-36,69993267",Caetés - PE
Ventos de São Clemente 2,EOL,31365.0,"-8,70930442","-36,73365648",Caetés - PE
Ventos de São Clemente 3,EOL,31365.0,"-8,75765054","-36,71414957",Venturosa - PE
Ventos de São Clemente 4,EOL,31365.0,"-8,76507968","-36,74807955",Venturosa - PE
Ventos de São Clemente 5,EOL,31365.0,"-8,70988668","-36,76281690",Caetés - PE
Ventos de São Clemente 6,EOL,27675.0,"-8,78104466","-36,75832376",Caetés - PE
Ventos de São Clemente 7,EOL,25830.0,"-8,75023975","-36,75012432","Caetés - PE, Pedra - PE"
Ventos de São Clemente 8,EOL,22140.0,"-8,70454106","-36,77568459",Venturosa - PE
Umbuzeiros,EOL,32900.0,"-5,41151004","-36,08322320",Jandaíra - RN
Umburanas 8,EOL,25000.0,"-10,69772228","-41,58232239",Sento Sé - BA
Santo Inácio IV,EOL,23100.0,"-4,74757277","-37,30751911",Icapuí - CE
São Pedro e Paulo I,UFV,27496.0,"-7,87835555","-37,98277778",Flores - PE
Ventos de Santo Onofre III,EOL,30000.0,"-7,55500830","-40,72568004",Simões - PI
Aventura I,EOL,28200.0,"-5,38141017","-35,80486372",João Câmara - RN
Estrela,EOL,29700.0,"-3,24796466","-39,29431548",Trairi - CE
Cacimbas 1,EOL,18900.0,"-3,25323687","-39,28094594",Trairi - CE
Ouro Verde,EOL,29700.0,"-3,27922444","-39,30611639",Trairi - CE
Santa Mônica I,EOL,18900.0,"-3,25967721","-39,28158583",Trairi - CE
Sol do Sertão XXXV,UFV,27213.11,"-12,32529722","-42,62414167",Oliveira dos Brejinhos - BA
Sol do Sertão XII,UFV,54426.22,"-12,31173611","-42,61910278",Oliveira dos Brejinhos - BA
Sol do Sertão XIII,UFV,74836.06,"-12,32500833","-42,62808333",Oliveira dos Brejinhos - BA
Terra do Sol VII,UFV,54426.22,"-12,31478612","-42,61841389",Oliveira dos Brejinhos - BA
Terra do Sol XI,UFV,47622.95,"-12,31738611","-42,60540833",Oliveira dos Brejinhos - BA
Sol do Sertão XIV,UFV,20409.83,"-12,32802222","-42,63796111",Oliveira dos Brejinhos - BA
Sol do Sertão VIII,UFV,95245.89,"-12,31885000","-42,62378611",Oliveira dos Brejinhos - BA
Sol do Sertão XXXVI,UFV,40819.67,"-12,32483056","-42,61340833",Oliveira dos Brejinhos - BA
AW São João,EOL,25200.0,"-5,36626809","-36,11046832",Jandaíra - RN
Cristalândia I,EOL,30000.0,"-13,93122764","-41,56086632","Brumado - BA, Dom Basílio - BA"
Cristalândia II,EOL,30000.0,"-13,97013345","-41,55017895",Brumado - BA
Cristalândia III,EOL,30000.0,"-14,00950837","-41,53327685",Brumado - BA
Amescla,EOL,13500.0,"-13,83506285","-42,70377690",Igaporã - BA
Angelim,EOL,21600.0,"-14,04405600","-42,65429301",Caetité - BA
Barbatimão,EOL,16200.0,"-13,82661024","-42,70428516",Igaporã - BA
Cedro,EOL,12000.0,"-14,32898043","-42,57230176",Caetité - BA
Facheio,EOL,16200.0,"-13,99459845","-42,69078304",Igaporã - BA
Imburana Macho,EOL,16200.0,"-13,86355786","-42,69089807",Igaporã - BA
Jataí,EOL,16200.0,"-13,82937522","-42,69082273",Igaporã - BA
Juazeiro,EOL,18900.0,"-13,84187496","-42,69056477",Igaporã - BA
Sabiu,EOL,13500.0,"-14,01545978","-42,66330327",Caetité - BA
Umbuzeiro,EOL,18900.0,"-13,97988782","-42,66518946",Igaporã - BA
Vellozia,EOL,16500.0,"-14,25403541","-42,54905022",Caetité - BA
AW Santa Régia,EOL,37800.0,"-5,38685927","-36,11048835",Jandaíra - RN
Cumaru I,EOL,42000.0,"-5,15255466","-35,76459314",São Miguel do Gostoso - RN
Cumaru II,EOL,42000.0,"-5,18127369","-35,78058945",São Miguel do Gostoso - RN
Cumarú III,EOL,42000.0,"-5,13189046","-35,80978074",Pedra Grande - RN
São Domingos,EOL,25200.0,"-5,20361910","-35,79095338",São Miguel do Gostoso - RN
Coxilha Negra 2,EOL,100800.0,"-31,03129483","-55,93084986",Santana do Livramento - RS
Coxilha Negra 3,EOL,105000.0,"-31,07521807","-55,88633308",Santana do Livramento - RS
Manineiro,EOL,13800.0,"-14,01696831","-42,67641007",Caetité - BA
Pau D'Água,EOL,18000.0,"-14,53557321","-42,57583880",Urandi - BA
Coremas I,UFV,27000.0,"-6,95673176","-37,99779730",Coremas - PB
Dracena 1,UFV,27000.0,"-21,46620444","-51,59167583",Dracena - SP
Dracena 2,UFV,27000.0,"-21,45992306","-51,58972027",Dracena - SP
Dracena 4,UFV,27000.0,"-21,45091584","-51,58700110",Dracena - SP
Ituverava 1,UFV,28000.0,"-12,58732500","-44,10687778",Tabocas do Brejo Velho - BA
Ituverava 2,UFV,28000.0,"-12,59260000","-44,10463611",Tabocas do Brejo Velho - BA
Ituverava 3,UFV,28000.0,"-12,59339422","-44,09953352",Tabocas do Brejo Velho - BA
Ituverava 4,UFV,28000.0,"-12,59896667","-44,10378056",Tabocas do Brejo Velho - BA
Ituverava 5,UFV,28000.0,"-12,60149459","-44,10414738",Tabocas do Brejo Velho - BA
Ituverava 6,UFV,28000.0,"-12,60346111","-44,09329167",Tabocas do Brejo Velho - BA
Ituverava 7,UFV,28000.0,"-12,60423611","-44,11575000",Tabocas do Brejo Velho - BA
FCR III Itapuranga,UFV,9125.0,"-15,49278056","-44,39271389",Januária - MG
Guaimbé 1,UFV,30000.0,"-21,88569028","-49,86962555",Guaimbê - SP
Guaimbé 2,UFV,30000.0,"-21,88835028","-49,87285667",Guaimbê - SP
Guaimbé 3,UFV,30000.0,"-21,89097361","-49,87603972",Guaimbê - SP
Guaimbé 4,UFV,30000.0,"-21,89338750","-49,86186972",Guaimbê - SP
Guaimbé 5,UFV,30000.0,"-21,89805944","-49,86866639",Guaimbê - SP
Vazante 1,UFV,27000.0,"-17,40524846","-44,88702140",Pirapora - MG
Vazante 2,UFV,27000.0,"-17,41431283","-44,90959130",Pirapora - MG
Vazante 3,UFV,27000.0,"-17,40762336","-44,91539358",Pirapora - MG
Assuruá III,EOL,12500.0,"-11,17055586","-42,68132130",Gentio do Ouro - BA
Assuruá IV,EOL,30000.0,"-11,04747424","-42,68759940",Gentio do Ouro - BA
Capoeiras III,EOL,27500.0,"-11,17742485","-42,73690500",Gentio do Ouro - BA
Curral de Pedras I,EOL,20000.0,"-11,13497767","-42,65347343",Gentio do Ouro - BA
Curral de Pedras II,EOL,27500.0,"-11,21271233","-42,69985117",Gentio do Ouro - BA
Diamante II,EOL,17500.0,"-11,10651596","-42,67149802",Gentio do Ouro - BA
Diamante III,EOL,17500.0,"-11,09036520","-42,68300814",Gentio do Ouro - BA
Laranjeiras I,EOL,27500.0,"-11,12278025","-42,68407001",Xique-Xique - BA
Laranjeiras II,EOL,30000.0,"-11,13107471","-42,69679751",Xique-Xique - BA
Laranjeiras V,EOL,25000.0,"-11,11529657","-42,66990024",Gentio do Ouro - BA
Pedra Rajada,EOL,20000.0,"-5,91420831","-36,30922525",Cerro Corá - RN
Pedra Rajada II,EOL,20000.0,"-5,88690655","-36,28867724",Cerro Corá - RN
Esperança do Nordeste,EOL,27300.0,"-5,08277207","-35,95518377",São Bento do Norte - RN
Paraíso dos Ventos do Nordeste,EOL,27300.0,"-5,08207361","-35,94193113",São Bento do Norte - RN
Potiguar,EOL,27300.0,"-5,06431357","-35,90141327",São Bento do Norte - RN
Delfina I,EOL,28000.0,"-10,05750878","-40,97868042",Campo Formoso - BA
Delfina II,EOL,28000.0,"-10,03694564","-40,95861817",Campo Formoso - BA
Delfina V,EOL,28000.0,"-10,02287638","-40,92836422",Campo Formoso - BA
Serra das Vacas V,EOL,25300.0,"-8,91557238","-36,77560354",Paranatama - PE
Serra das Vacas VII,EOL,25300.0,"-8,92096120","-36,78224126",Paranatama - PE
Mulungu,EOL,13500.0,"-14,00546660","-42,66704098",Guanambi - BA
Pau Santo,EOL,18900.0,"-14,26697816","-42,53643261",Pindaí - BA
Quina,EOL,10800.0,"-13,98084040","-42,67878101",Igaporã - BA
Ventos de Santo Estevão IV,EOL,29900.0,"-7,72659776","-40,59414549",Araripina - PE
Ventos de Santo Onofre IV,EOL,27600.0,"-7,74092485","-40,72435222",Simões - PI
Ventos de São Virgílio 01,EOL,29900.0,"-7,68814603","-40,68834449",Simões - PI
Ventos de São Virgílio 03,EOL,19800.0,"-7,78350058","-40,65739443",Curral Novo do Piauí - PI
Fontes Solar I,UFV,5000.0,"-9,07006111","-38,14711666",Tacaratu - PE
Fontes Solar II,UFV,5000.0,"-9,07113611","-38,14598611",Tacaratu - PE
Serra do Mato I,EOL,21000.0,"-3,27065252","-39,39626156",Trairi - CE
Serra do Mato II,EOL,21000.0,"-3,27598890","-39,35126683",Trairi - CE
Serra do Mato III,EOL,21000.0,"-3,26246493","-39,34820176",Trairi - CE
Serra do Mato IV,EOL,21000.0,"-3,22014831","-39,39618159",Trairi - CE
Serra do Mato VI,EOL,16800.0,"-3,24555226","-39,40734982",Trairi - CE
Mundo Novo VII,EOL,40500.0,"-5,22179640","-35,65845803",São Miguel do Gostoso - RN
Mundo Novo VI,EOL,40500.0,"-5,20263943","-35,63880775",São Miguel do Gostoso - RN
Morro Branco II,EOL,31185.0,"-9,76602418","-41,02266980",Sento Sé - BA
Serra do Mato V,EOL,21000.0,"-3,23220135","-39,40197103",Trairi - CE
Serra da Babilônia II,EOL,28200.0,"-11,09546596","-41,30566977",Morro do Chapéu - BA
Serra da Babilônia IX,EOL,28200.0,"-11,09013968","-41,31536498",Morro do Chapéu - BA
Serra da Babilônia VI,EOL,25850.0,"-11,04899523","-41,32520275",Morro do Chapéu - BA
Serra da Babilônia VII,EOL,28200.0,"-11,05658661","-41,31548660",Morro do Chapéu - BA
Serra da Babilônia VIII,EOL,28200.0,"-11,08384350","-41,30105957",Morro do Chapéu - BA
Serra da Babilônia  X,EOL,28200.0,"-11,06810283","-41,31878750",Morro do Chapéu - BA
Serra da Babilônia XI,EOL,28200.0,"-11,07697816","-41,32158685",Morro do Chapéu - BA
Serra da Babilônia XII,EOL,28200.0,"-11,09886591","-41,31586717",Morro do Chapéu - BA
Kairós Wind 1 (Antiga Mutamba VI),EOL,36000.0,"-4,72290632","-37,41167587",Icapuí - CE
Inhambú 2,EOL,16450.0,"-14,45136197","-42,65047171",Pindaí - BA
Terra Santa I,EOL,60350.0,"-5,25686652","-36,05748678",Caiçara do Norte - RN
Terra Santa II,EOL,31950.0,"-5,22983854","-36,10292811",Caiçara do Norte - RN
Monte Verde I,EOL,67200.0,"-5,49555161","-36,19083761",Pedro Avelino - RN
Monte Verde II,EOL,67200.0,"-5,45938855","-36,19794540",Pedro Avelino - RN
Delfina III,EOL,28000.0,"-10,00491909","-40,93379381",Campo Formoso - BA
Delfina IV,EOL,8000.0,"-10,06580256","-40,98092913",Campo Formoso - BA
Delfina VI,EOL,30000.0,"-10,02923792","-40,95196878",Campo Formoso - BA
Delfina VII,EOL,30000.0,"-9,98632183","-40,91073990",Campo Formoso - BA
Ventos da Bahia I,EOL,28600.0,"-11,98767533","-41,52585741",Mulungu do Morro - BA
Ventos da Bahia III,EOL,30800.0,"-11,97474009","-41,52213627",Mulungu do Morro - BA
Ventos da Bahia IX,EOL,28600.0,"-11,98617146","-41,49142514",Mulungu do Morro - BA
Ventos da Bahia XIII,EOL,49500.0,"-12,13129677","-41,49666159",Iraquara - BA
Ventos da Bahia XIV,EOL,33000.0,"-12,11018010","-41,50677639","Iraquara - BA, Souto Soares - BA"
Coremas III,UFV,27000.0,"-6,94721750","-37,99384389",Coremas - PB
Tucano II,EOL,24800.0,"-11,19013779","-38,78170522",Tucano - BA
Tucano III,EOL,43400.0,"-11,32945525","-38,80453795",Tucano - BA
Tucano IV,EOL,43400.0,"-11,42005176","-38,81289148",Biritinga - BA
Tucano VI,EOL,49600.0,"-11,22795737","-38,79201033",Tucano - BA
Tucano VII,EOL,55800.0,"-11,25646723","-38,81124798",Tucano - BA
Tucano VIII,EOL,49600.0,"-11,28593297","-38,79906981",Tucano - BA
Tucano X,EOL,43400.0,"-11,29849630","-38,80133353",Tucano - BA
Ventos de Santa Leia 01,EOL,67500.0,"-5,91073869","-36,15215729",São Tomé - RN
Ventos de São Januário 04,EOL,29400.0,"-10,38700257","-40,45885143",Campo Formoso - BA
Ventos de São Januário 15,EOL,72000.0,"-11,07876275","-41,26807907",Várzea Nova - BA
Ventos de São Januário 05,EOL,42000.0,"-10,28982544","-40,43405344",Campo Formoso - BA
Boa Vista da Lagoinha,EOL,30000.0,"-11,76135316","-41,38928707",Morro do Chapéu - BA
Aura Caetité 03,EOL,36000.0,"-13,70691891","-42,60011830",Tanque Novo - BA
Aura Caetité 04,EOL,22500.0,"-13,62520340","-42,55086718",Tanque Novo - BA
Coremas IV,UFV,27000.0,"-6,95712028","-37,98965195",Coremas - PB
Aura Queimada Nova 01,EOL,32200.0,"-8,71766786","-41,64461214",Lagoa do Barro do Piauí - PI
Coremas VI,UFV,27000.0,"-6,94947362","-37,98305888",Pombal - PB
Jandaira I,EOL,10395.0,"-5,41988562","-36,01657181",Jandaíra - RN
Coremas VII,UFV,27000.0,"-6,94808250","-37,99598667",Coremas - PB
Ventos de Santo Abraão,EOL,28000.0,"-11,62494903","-41,35213098",Morro do Chapéu - BA
Coremas V,UFV,27000.0,"-6,95228722","-37,99598027",Coremas - PB
Bom Jesus da Lapa I,UFV,30000.0,"-13,30021076","-43,32352929",Bom Jesus da Lapa - BA
Bom Jesus da Lapa II,UFV,30000.0,"-13,29780661","-43,32412910",Bom Jesus da Lapa - BA
Coremas II,UFV,27000.0,"-6,96295389","-38,00186638",Coremas - PB
Aventura II,EOL,21000.0,"-5,32567041","-35,73408378",Touros - RN
Ventos de Santa Angela 01,EOL,31500.0,"-8,51978742","-41,55843560",Queimada Nova - PI
Ventos de Santa Angela 02,EOL,31500.0,"-8,54416621","-41,57510205",Lagoa do Barro do Piauí - PI
Ventos de Santa Angela 03,EOL,31500.0,"-8,57641741","-41,57782474",Lagoa do Barro do Piauí - PI
Ventos de Santa Angela 04,EOL,31500.0,"-8,60017786","-41,59075085",Lagoa do Barro do Piauí - PI
Ventos de Santa Angela 05,EOL,31500.0,"-8,46250691","-41,44506055",Lagoa do Barro do Piauí - PI
Ventos de Santa Angela 06,EOL,31500.0,"-8,48910781","-41,45164661",Queimada Nova - PI
Ventos de Santa Angela 07,EOL,25200.0,"-8,53062261","-41,48050816",Queimada Nova - PI
Ventos de Santa Angela 08,EOL,31500.0,"-8,56080019","-41,49835305",Queimada Nova - PI
Ventos de Santa Angela 09,EOL,44100.0,"-8,59522644","-41,47952853",Queimada Nova - PI
Ventos de Santa Angela 10,EOL,40950.0,"-8,63289656","-41,49710930",Lagoa do Barro do Piauí - PI
Ventos de Santa Angela 11,EOL,44100.0,"-8,66707291","-41,50975809",Lagoa do Barro do Piauí - PI
Ventos de Santa Angela 12,EOL,30000.0,"-8,76164834","-41,43029546",Dom Inocêncio - PI
Ventos de Santa Angela 13,EOL,28350.0,"-8,76644080","-41,40872371","Dom Inocêncio - PI, Lagoa do Barro do Piauí - PI"
Ventos de Santa Angela 14,EOL,42600.0,"-8,70877727","-41,51810084",Lagoa do Barro do Piauí - PI
Ventos de Santa Angela 15,EOL,43500.0,"-8,72202566","-41,47407390",Queimada Nova - PI
Ventos de Santa Ângela 16,EOL,31500.0,"-8,73258662","-41,55898802",Lagoa do Barro do Piauí - PI
Ventos de Santa Angela 17,EOL,47250.0,"-8,71592499","-41,42087958",Lagoa do Barro do Piauí - PI
Ventos de Santa Ângela 18,EOL,31500.0,"-8,73886946","-41,39990177",Lagoa do Barro do Piauí - PI
Ventos de Santa Angela 19,EOL,30000.0,"-8,74618016","-41,47157169",Queimada Nova - PI
Ventos de Santa Ângela 20,EOL,30000.0,"-8,78176980","-41,45197534",Lagoa do Barro do Piauí - PI
Ventos de Santa Ângela 21,EOL,27000.0,"-8,80656343","-41,46511220",Queimada Nova - PI
Aventura III,EOL,25200.0,"-5,32656775","-35,75434684",Touros - RN
Nova Olinda 8,UFV,30000.0,"-8,20960743","-42,53943004",Ribeira do Piauí - PI
Nova Olinda 9,UFV,30000.0,"-8,21653122","-42,53818101",Ribeira do Piauí - PI
Nova Olinda 10,UFV,30000.0,"-8,19412159","-42,55956272",Ribeira do Piauí - PI
Nova Olinda 11,UFV,30000.0,"-8,18979101","-42,56426133",Ribeira do Piauí - PI
Nova Olinda 12,UFV,30000.0,"-8,17995153","-42,56089080",Ribeira do Piauí - PI
Nova Olinda 13,UFV,30000.0,"-7,92722000","-42,61272000",Ribeira do Piauí - PI
Nova Olinda 14,UFV,30000.0,"-8,17743775","-42,56388283",Ribeira do Piauí - PI
Ventos de São Vicente 10,EOL,29400.0,"-8,00650080","-40,63783800",Curral Novo do Piauí - PI
Ventos de São Vicente 14,EOL,29400.0,"-7,98953345","-40,58342411",Curral Novo do Piauí - PI
Ventos de São Vicente 13,EOL,29400.0,"-8,00310577","-40,61146999",Curral Novo do Piauí - PI
Ventos de São Vicente 12,EOL,29400.0,"-8,02137327","-40,61775581",Curral Novo do Piauí - PI
Ventos de São Vicente 11,EOL,29400.0,"-7,99566246","-40,63490706",Curral Novo do Piauí - PI
Ventos de São Vicente 09,EOL,29400.0,"-8,01732309","-40,65852424",Curral Novo do Piauí - PI
Ventos de São Vicente 08,EOL,29400.0,"-8,01210465","-40,63165257",Curral Novo do Piauí - PI
Pirapora 2,UFV,31000.0,"-17,40864908","-44,87355101",Pirapora - MG
Pirapora 3,UFV,31000.0,"-17,40866353","-44,88544361",Pirapora - MG
Pirapora 4,UFV,31000.0,"-17,40866363","-44,88544386",Pirapora - MG
Pirapora 5,UFV,31000.0,"-17,40865727","-44,88972752",Pirapora - MG
Pirapora 6,UFV,31000.0,"-17,40844374","-44,89613029",Pirapora - MG
Pirapora 7,UFV,31000.0,"-17,40819296","-44,90148739",Pirapora - MG
Pirapora 9,UFV,31000.0,"-17,40765554","-44,91220205",Pirapora - MG
Pirapora 10,UFV,31000.0,"-17,40679108","-44,91860534",Pirapora - MG
Coromandel 2,UFV,30000.0,"-18,41663052","-47,05647483",Coromandel - MG
Coromandel 1,UFV,30000.0,"-18,41968614","-47,06361106",Coromandel - MG
Francisco Sá 1,UFV,33000.0,"-16,30956393","-43,66698612",Francisco Sá - MG
Francisco Sá 2,UFV,33000.0,"-16,30225278","-43,66539444",Francisco Sá - MG
Francisco Sá 3,UFV,33000.0,"-16,29757221","-43,66339722",Francisco Sá - MG
Filgueira I,EOL,39050.0,"-5,02068543","-36,99893947",Areia Branca - RN
Filgueira II,EOL,28400.0,"-5,01268057","-37,03957046",Areia Branca - RN
Sertão Solar Barreiras I,UFV,23660.0,"-12,03201500","-45,07217652",Barreiras - BA
Sertão Solar Barreiras II,UFV,23660.0,"-12,03487949","-45,07066889",Barreiras - BA
